Isotope,Count
 60Co,1378
 137Cs,1316
3H,1255
 58Co,887
 110mAg,811
54Mn,762
 65Zn,664
 63Ni,633
 14C,478
55Fe,426
60Co,421
ND,335
226Ra,303
 238U,277
 241Am,266
 55Fe,236
 90Sr,232
99mTc,223
 235U,204
14C,192
137Cs,186
U,182
90Sr,175
234U,175
123I,163
18F,158
131I,121
111In,118
 Pu,117
 57Co,114
201Tl,112
 226Ra,95
 239Pu,92
125I,91
232Th,79
32P,75
 236U,74
 241Pu,72
63Ni,70
241Am,62
 U,61
35S,60
 56Co,56
 232Th,55
 Am,54
 Th,52
 99Tc,50
Pu,49
39Ar,46
 134Cs,43
 108mAg,43
 151Sm,42
177Lu,40
67Ga,39
239Pu,39
 51Cr,38
 240Pu,37
 54Mn,34
 152Eu,33
 238Pu,33
 125Sb,28
57Co,28
 147Pm,28
 210Pb,27
90Y,27
235U,27
68Ga,26
 234U,25
 109Cd,23
33P,22
68Ge,21
238Pu,21
 133Ba,21
99Mo,20
Th,18
51Cr,18
 22Na,18
 154Eu,16
 36Cl,15
238U,15
 90Y,15
56Co,14
58Co,14
 35S,14
 228Th,12
 181W,11
210Pb,11
99Tc,11
22Na,11
153Sm,10
228Ra,10
 242Pu,9
 210Po,9
 244Cm,9
 237Np,9
40K,9
 228Ra,8
 230Th,8
 129I,7
 125I,7
 232U,7
 124Sb,7
154Eu,7
65Zn,6
152Eu,6
85Kr,6
 59Fe,6
 243Am,6
 231Pa,5
 44Ti,5
233U,5
 99mTc,5
 106Ru,5
13N,5
134Cs,4
46Sc,4
 198Au,4
129I,4
 85Kr,4
 153Sm,4
 32Si,4
 45Ca,4
109Cd,4
 183Re,4
 46Sc,4
125Sb,3
 33P,3
 233U,3
192Ir,3
 40K,3
 144Ce,3
 59Ni,3
 227Th,3
204Tl,3
11C,3
225Ac,3
 32P,3
241Pu,3
151Sm,3
 182Ta,3
229Th,3
 177Lu,3
237Np,3
64Cu,3
169Er,2
 95Zr,2
 227Ac,2
 52Mn,2
85Sr,2
 85Sr,2
 153Gd,2
133Ba,2
 7Be,2
186Re,2
36Cl,2
242Pu,2
 106Rh,2
 229Th,2
 249Cf,2
 252Cf,2
 83Rb,2
240Pu,2
95Zr,2
15O,2
236U,2
 88Y,2
230Th,2
155Eu,2
 Mg,2
232U,2
89Sr,2
106Ru,2
Am,2
 68Ga,1
 75Se,1
208Po,1
83Rb,1
 236Pu,1
48V,1
227Th,1
 18F,1
227Ac,1
166Ho,1
49V,1
52Mn,1
 122Sb,1
150Eu,1
 131I,1
 155Eu,1
 141Ce,1
 204Tl,1
244Cm,1
 213Bi,1
 Po,1
 242Am,1
 68Ge,1
210Po,1
140La,1
147Pm,1
194Hg,1
81Rb,1
 169Er,1
 53Mn,1
59Fe,1
86Rb,1
 209Po,1
141Ce,1
182Ta,1
 194Hg,1
233Pa,1
 243Cm,1
198Au,1
 170Tm,1
44Ti,1
 236Np,1
 144Pm,1
 208Po,1
 41Ca,1
228Th,1
10Be,1
